Date                Time                Instance                                Target_QoS          #_Patient           #_Act               #_Res               RelaxTW             RDelay              #P_Init             QoS_Init            #A_Init             #P_Final            QoS_Final           #A_Final            #Late               #OnTime             #NoShow             #ReSchd             #Failed             Av_RCPU             Av_DT               #A_DT               #A_DR               
19/10/2024          20:07               CP_20_0_FQoS                            25                  20                  146                 175                 1                   15.00               20                  58.47               146                 19                  61.30               137                 2                   17                  3                   2                   0                   0.00                26.64               87                  64                  
19/10/2024          20:07               CP_20_0_FQoS                            25                  20                  146                 175                 1                   15.00               20                  58.47               146                 20                  59.31               146                 2                   18                  2                   2                   0                   0.00                34.32               91                  62                  
19/10/2024          20:07               CP_20_0_FQoS                            25                  20                  146                 175                 1                   15.00               20                  58.47               146                 20                  54.29               146                 1                   19                  1                   1                   0                   0.00                28.66               72                  44                  
19/10/2024          20:07               CP_20_0_FQoS                            25                  20                  146                 175                 1                   15.00               20                  58.47               146                 20                  62.30               146                 2                   18                  2                   2                   0                   0.00                28.63               97                  61                  
19/10/2024          20:07               CP_20_0_FQoS                            25                  20                  146                 175                 1                   15.00               20                  58.47               146                 20                  55.89               146                 1                   19                  1                   1                   0                   0.00                28.87               75                  49                  
19/10/2024          20:07               CP_20_0_FQoS                            25                  20                  146                 175                 1                   15.00               20                  58.47               146                 20                  54.29               146                 1                   19                  1                   1                   0                   0.00                24.21               74                  60                  
19/10/2024          20:07               CP_20_0_FQoS                            25                  20                  146                 175                 1                   15.00               20                  58.47               146                 19                  57.96               137                 2                   18                  2                   1                   0                   0.00                26.72               63                  50                  
19/10/2024          20:07               CP_20_0_FQoS                            25                  20                  146                 175                 1                   15.00               20                  58.47               146                 20                  52.78               146                 4                   56                  4                   4                   0                   0.00                31.95               93                  56                  
19/10/2024          20:07               CP_20_0_FQoS                            25                  20                  146                 175                 1                   15.00               20                  58.47               146                 14                  66.24               103                 7                   13                  7                   1                   0                   0.00                21.50               49                  48                  
19/10/2024          20:07               CP_20_0_FQoS                            25                  20                  146                 175                 1                   15.00               20                  58.47               146                 20                  60.32               146                 1                   19                  1                   1                   0                   0.00                23.66               82                  63                  
19/10/2024          20:07               CP_20_9_FQoS                            25                  20                  131                 175                 1                   15.00               20                  41.38               131                 20                  42.11               131                 1                   19                  1                   1                   0                   0.00                25.69               67                  56                  
19/10/2024          20:07               CP_20_9_FQoS                            25                  20                  131                 175                 1                   15.00               20                  41.38               131                 20                  51.29               131                 1                   19                  1                   1                   0                   0.00                39.01               83                  50                  
19/10/2024          20:07               CP_20_9_FQoS                            25                  20                  131                 175                 1                   15.00               20                  41.38               131                 19                  56.61               121                 2                   17                  3                   2                   0                   0.00                37.77               78                  59                  
19/10/2024          20:07               CP_20_9_FQoS                            25                  20                  131                 175                 1                   15.00               20                  41.38               131                 18                  42.11               121                 2                   16                  4                   2                   0                   0.00                28.84               71                  52                  
19/10/2024          20:07               CP_20_9_FQoS                            25                  20                  131                 175                 1                   15.00               20                  41.38               131                 20                  57.70               131                 1                   39                  1                   1                   0                   0.00                42.94               96                  60                  
19/10/2024          20:07               CP_20_9_FQoS                            25                  20                  131                 175                 1                   15.00               20                  41.38               131                 20                  55.56               131                 2                   18                  2                   2                   0                   0.00                40.80               88                  65                  
19/10/2024          20:07               CP_20_9_FQoS                            25                  20                  131                 175                 1                   15.00               20                  41.38               131                 20                  51.29               131                 2                   18                  2                   2                   0                   0.00                32.75               71                  53                  
19/10/2024          20:07               CP_20_9_FQoS                            25                  20                  131                 175                 1                   15.00               20                  41.38               131                 20                  53.58               131                 1                   19                  1                   1                   0                   0.00                37.67               80                  48                  
19/10/2024          20:07               CP_20_9_FQoS                            25                  20                  131                 175                 1                   15.00               20                  41.38               131                 18                  62.50               121                 4                   36                  4                   2                   0                   0.00                44.92               84                  47                  
19/10/2024          20:07               CP_20_9_FQoS                            25                  20                  131                 175                 1                   15.00               20                  41.38               131                 19                  54.06               127                 3                   17                  3                   2                   0                   0.00                42.68               106                 61                  
19/10/2024          20:17               CP_30_6_FQoS                            25                  30                  219                 175                 1                   15.00               29                  56.89               212                 27                  54.55               202                 3                   26                  3                   1                   0                   0.00                41.56               140                 96                  
19/10/2024          20:17               CP_30_6_FQoS                            25                  30                  219                 175                 1                   15.00               29                  56.89               212                 29                  40.39               212                 4                   25                  4                   4                   0                   0.00                36.42               153                 102                 
19/10/2024          20:17               CP_30_6_FQoS                            25                  30                  219                 175                 1                   15.00               29                  56.89               212                 29                  48.12               212                 4                   54                  4                   4                   0                   0.00                39.39               174                 109                 
19/10/2024          20:17               CP_30_6_FQoS                            25                  30                  219                 175                 1                   15.00               29                  56.89               212                 28                  53.17               206                 2                   27                  2                   1                   0                   0.00                40.75               146                 101                 
19/10/2024          20:17               CP_30_6_FQoS                            25                  30                  219                 175                 1                   15.00               29                  56.89               212                 28                  55.44               201                 3                   26                  3                   2                   0                   0.00                31.29               146                 95                  
19/10/2024          20:17               CP_30_6_FQoS                            25                  30                  219                 175                 1                   15.00               29                  56.89               212                 29                  46.79               212                 3                   26                  3                   3                   0                   0.00                28.73               154                 104                 
19/10/2024          20:17               CP_30_6_FQoS                            25                  30                  219                 175                 1                   15.00               29                  56.89               212                 28                  58.34               206                 2                   27                  2                   1                   0                   0.00                25.19               127                 88                  
19/10/2024          20:17               CP_30_6_FQoS                            25                  30                  219                 175                 1                   15.00               29                  56.89               212                 29                  51.20               212                 2                   27                  2                   2                   0                   0.00                36.27               153                 91                  
19/10/2024          20:17               CP_30_6_FQoS                            25                  30                  219                 175                 1                   15.00               29                  56.89               212                 29                  46.37               212                 1                   28                  1                   1                   0                   0.00                23.21               95                  63                  
19/10/2024          20:17               CP_30_6_FQoS                            25                  30                  219                 175                 1                   15.00               29                  56.89               212                 28                  52.11               205                 4                   25                  4                   3                   0                   0.00                35.98               158                 103                 
19/10/2024          20:18               CP_40_7_FQoS                            25                  40                  327                 175                 1                   15.00               34                  35.30               261                 31                  44.69               236                 4                   28                  6                   3                   0                   0.00                39.56               183                 121                 
19/10/2024          20:18               CP_40_7_FQoS                            25                  40                  327                 175                 1                   15.00               34                  35.30               261                 33                  40.00               255                 2                   32                  2                   1                   0                   0.00                40.53               169                 117                 
19/10/2024          20:18               CP_40_7_FQoS                            25                  40                  327                 175                 1                   15.00               34                  35.30               261                 32                  40.00               245                 4                   29                  5                   3                   0                   0.00                44.18               185                 118                 
19/10/2024          20:18               CP_40_7_FQoS                            25                  40                  327                 175                 1                   15.00               34                  35.30               261                 33                  37.17               251                 3                   31                  3                   2                   0                   0.33                43.37               175                 128                 
19/10/2024          20:18               CP_40_7_FQoS                            25                  40                  327                 175                 1                   15.00               34                  35.30               261                 34                  36.90               261                 2                   32                  2                   2                   0                   0.00                40.82               205                 129                 
19/10/2024          20:18               CP_40_7_FQoS                            25                  40                  327                 175                 1                   15.00               34                  35.30               261                 33                  38.54               254                 3                   31                  3                   2                   0                   0.00                47.97               198                 126                 
19/10/2024          20:18               CP_40_7_FQoS                            25                  40                  327                 175                 1                   15.00               34                  35.30               261                 34                  37.50               261                 1                   33                  1                   1                   0                   0.00                44.94               196                 128                 
19/10/2024          20:18               CP_40_7_FQoS                            25                  40                  327                 175                 1                   15.00               34                  35.30               261                 30                  43.75               237                 6                   28                  6                   2                   0                   0.00                49.16               179                 125                 
19/10/2024          20:18               CP_40_7_FQoS                            25                  40                  327                 175                 1                   15.00               34                  35.30               261                 34                  43.30               261                 3                   31                  3                   3                   0                   0.00                43.64               194                 117                 
19/10/2024          20:18               CP_40_7_FQoS                            25                  40                  327                 175                 1                   15.00               34                  35.30               261                 33                  35.00               254                 4                   30                  4                   3                   0                   0.00                45.28               170                 120                 
19/10/2024          20:07               CP_20_1_FQoS                            25                  20                  157                 175                 1                   15.00               19                  53.45               150                 16                  58.11               125                 3                   15                  4                   1                   0                   0.00                25.16               72                  61                  
19/10/2024          20:07               CP_20_1_FQoS                            25                  20                  157                 175                 1                   15.00               19                  53.45               150                 19                  42.65               150                 3                   35                  3                   3                   0                   0.00                21.00               77                  75                  
19/10/2024          20:07               CP_20_1_FQoS                            25                  20                  157                 175                 1                   15.00               19                  53.45               150                 18                  50.00               144                 3                   16                  3                   2                   0                   0.00                25.24               91                  75                  
19/10/2024          20:07               CP_20_1_FQoS                            25                  20                  157                 175                 1                   15.00               19                  53.45               150                 18                  58.50               144                 3                   34                  4                   3                   0                   0.00                26.88               87                  71                  
19/10/2024          20:07               CP_20_1_FQoS                            25                  20                  157                 175                 1                   15.00               19                  53.45               150                 19                  55.77               150                 1                   37                  1                   1                   0                   0.00                24.03               92                  73                  
19/10/2024          20:07               CP_20_1_FQoS                            25                  20                  157                 175                 1                   15.00               19                  53.45               150                 19                  63.40               150                 1                   18                  1                   1                   0                   0.00                36.43               97                  71                  
19/10/2024          20:07               CP_20_1_FQoS                            25                  20                  157                 175                 1                   15.00               19                  53.45               150                 16                  59.38               131                 2                   33                  5                   1                   0                   0.00                25.92               91                  67                  
19/10/2024          20:07               CP_20_1_FQoS                            25                  20                  157                 175                 1                   15.00               19                  53.45               150                 18                  55.13               143                 3                   16                  3                   2                   0                   0.00                33.25               96                  66                  
19/10/2024          20:07               CP_20_1_FQoS                            25                  20                  157                 175                 1                   15.00               19                  53.45               150                 17                  43.29               128                 3                   16                  3                   1                   0                   0.00                10.74               41                  59                  
19/10/2024          20:07               CP_20_1_FQoS                            25                  20                  157                 175                 1                   15.00               19                  53.45               150                 19                  55.36               150                 1                   18                  1                   1                   0                   0.00                23.23               60                  55                  
19/10/2024          20:07               CP_20_8_FQoS                            25                  20                  149                 175                 1                   15.00               19                  53.58               142                 19                  51.52               142                 3                   16                  3                   3                   0                   0.00                43.03               86                  58                  
19/10/2024          20:07               CP_20_8_FQoS                            25                  20                  149                 175                 1                   15.00               19                  53.58               142                 19                  40.00               142                 1                   18                  1                   1                   0                   0.00                47.82               85                  66                  
19/10/2024          20:07               CP_20_8_FQoS                            25                  20                  149                 175                 1                   15.00               19                  53.58               142                 19                  53.58               142                 1                   18                  1                   1                   0                   0.00                22.46               59                  48                  
19/10/2024          20:07               CP_20_8_FQoS                            25                  20                  149                 175                 1                   15.00               19                  53.58               142                 19                  41.03               142                 2                   17                  2                   2                   0                   0.00                44.68               92                  62                  
19/10/2024          20:07               CP_20_8_FQoS                            25                  20                  149                 175                 1                   15.00               19                  53.58               142                 19                  50.00               142                 3                   16                  3                   3                   0                   0.00                42.75               98                  60                  
19/10/2024          20:07               CP_20_8_FQoS                            25                  20                  149                 175                 1                   15.00               19                  53.58               142                 19                  47.23               142                 2                   17                  2                   2                   0                   0.00                45.88               94                  66                  
19/10/2024          20:07               CP_20_8_FQoS                            25                  20                  149                 175                 1                   15.00               19                  53.58               142                 17                  48.12               132                 2                   34                  4                   2                   0                   0.00                47.73               83                  54                  
19/10/2024          20:07               CP_20_8_FQoS                            25                  20                  149                 175                 1                   15.00               19                  53.58               142                 18                  56.08               132                 2                   16                  3                   2                   0                   0.00                39.24               78                  44                  
19/10/2024          20:07               CP_20_8_FQoS                            25                  20                  149                 175                 1                   15.00               19                  53.58               142                 19                  58.83               142                 1                   18                  1                   1                   0                   0.00                38.91               75                  50                  
19/10/2024          20:07               CP_20_8_FQoS                            25                  20                  149                 175                 1                   15.00               19                  53.58               142                 19                  57.15               142                 1                   18                  1                   1                   0                   0.00                40.18               82                  44                  
19/10/2024          20:07               CP_30_5_FQoS                            25                  30                  223                 175                 1                   15.00               30                  40.00               223                 30                  29.90               223                 2                   28                  2                   2                   0                   0.00                36.79               160                 108                 
19/10/2024          20:07               CP_30_5_FQoS                            25                  30                  223                 175                 1                   15.00               30                  40.00               223                 29                  46.92               217                 3                   27                  3                   2                   0                   0.00                29.31               145                 98                  
19/10/2024          20:07               CP_30_5_FQoS                            25                  30                  223                 175                 1                   15.00               30                  40.00               223                 30                  40.39               223                 1                   29                  1                   1                   0                   0.00                30.22               141                 103                 
19/10/2024          20:07               CP_30_5_FQoS                            25                  30                  223                 175                 1                   15.00               30                  40.00               223                 30                  32.99               223                 1                   29                  1                   1                   0                   0.00                23.14               108                 72                  
19/10/2024          20:07               CP_30_5_FQoS                            25                  30                  223                 175                 1                   15.00               30                  40.00               223                 30                  37.21               223                 1                   29                  1                   1                   0                   0.00                42.91               147                 90                  
19/10/2024          20:07               CP_30_5_FQoS                            25                  30                  223                 175                 1                   15.00               30                  40.00               223                 29                  44.62               214                 1                   28                  2                   1                   0                   0.00                22.45               97                  61                  
19/10/2024          20:07               CP_30_5_FQoS                            25                  30                  223                 175                 1                   15.00               30                  40.00               223                 29                  46.24               219                 2                   28                  2                   1                   0                   0.00                29.54               142                 81                  
19/10/2024          20:07               CP_30_5_FQoS                            25                  30                  223                 175                 1                   15.00               30                  40.00               223                 30                  42.70               223                 1                   29                  1                   1                   0                   0.00                29.93               149                 104                 
19/10/2024          20:07               CP_30_5_FQoS                            25                  30                  223                 175                 1                   15.00               30                  40.00               223                 29                  50.00               216                 5                   25                  5                   4                   0                   0.00                38.47               155                 103                 
19/10/2024          20:07               CP_30_5_FQoS                            25                  30                  223                 175                 1                   15.00               30                  40.00               223                 29                  44.95               211                 3                   26                  4                   3                   0                   0.00                32.96               150                 104                 
19/10/2024          20:07               CP_30_9_FQoS                            25                  30                  237                 175                 1                   15.00               28                  32.33               223                 28                  32.66               223                 5                   23                  5                   5                   0                   0.00                37.94               156                 100                 
19/10/2024          20:07               CP_30_9_FQoS                            25                  30                  237                 175                 1                   15.00               28                  32.33               223                 28                  34.49               223                 2                   26                  2                   2                   0                   0.00                28.21               127                 98                  
19/10/2024          20:07               CP_30_9_FQoS                            25                  30                  237                 175                 1                   15.00               28                  32.33               223                 28                  52.64               223                 2                   26                  2                   2                   0                   0.00                37.62               126                 84                  
19/10/2024          20:07               CP_30_9_FQoS                            25                  30                  237                 175                 1                   15.00               28                  32.33               223                 27                  50.00               212                 1                   26                  2                   1                   0                   0.00                47.12               127                 78                  
19/10/2024          20:07               CP_30_9_FQoS                            25                  30                  237                 175                 1                   15.00               28                  32.33               223                 27                  59.38               213                 5                   23                  5                   4                   0                   0.00                40.94               141                 98                  
19/10/2024          20:07               CP_30_9_FQoS                            25                  30                  237                 175                 1                   15.00               28                  32.33               223                 28                  32.99               223                 1                   27                  1                   1                   0                   0.00                39.39               142                 106                 
19/10/2024          20:07               CP_30_9_FQoS                            25                  30                  237                 175                 1                   15.00               28                  32.33               223                 28                  38.10               223                 2                   26                  2                   2                   0                   0.00                34.51               137                 109                 
19/10/2024          20:07               CP_30_9_FQoS                            25                  30                  237                 175                 1                   15.00               28                  32.33               223                 27                  33.69               211                 3                   24                  4                   3                   0                   0.00                35.83               139                 102                 
19/10/2024          20:07               CP_30_9_FQoS                            25                  30                  237                 175                 1                   15.00               28                  32.33               223                 28                  32.99               223                 1                   27                  1                   1                   0                   0.00                39.39               142                 106                 
19/10/2024          20:07               CP_30_9_FQoS                            25                  30                  237                 175                 1                   15.00               28                  32.33               223                 27                  34.79               214                 6                   22                  6                   5                   0                   0.00                42.03               159                 107                 
19/10/2024          20:17               CP_40_3_FQoS                            25                  40                  286                 175                 1                   15.00               38                  36.05               265                 38                  27.89               265                 1                   37                  1                   1                   0                   0.00                38.89               144                 99                  
19/10/2024          20:18               CP_40_3_FQoS                            25                  40                  286                 175                 1                   15.00               38                  36.05               265                 37                  29.30               256                 6                   32                  6                   5                   0                   7.38                58.50               212                 136                 
